key,en_EN,zh_CN
event_73_desc,"When sweeping fallen leaves in autumn, you casually picked up a few intact oak leaves and tucked them in your notebook. You unexpectedly found that the veins of the leaves can be perfectly transferred onto washi paper, becoming the exclusive invitation pattern for your floral salon.",秋日扫落叶时，随手捡了几片形状完整的橡树叶夹在笔记本里，竟意外发现叶片的脉络能完美拓印在和纸之上，成了你花艺沙龙专属的邀请函纹样
event_74_desc,"You were guarding the newly cut seedlings in the greenhouse on a rainy night, and accidentally found a group of fireflies outside the window, resting on the leaves of the seedlings. The faint light just helped you see the newly grown roots of the seedlings clearly, and this group of fireflies has settled in your greenhouse ever since.",雨夜在花房守着刚扦插的幼苗，无意间发现窗外来了一群萤火虫，停在幼苗的叶片上，微弱的光恰好帮你看清了幼苗新生的根系，而这群萤火虫此后便定居在了你的花房里。
event_75_desc,"You went to the old tailor shop in town to customize aprons for the floral salon, and the tailor casually gave you a roll of retro lace that had been in stock for a long time. It is perfect for decorating your floral vessels and matches the style of the Victorian villa perfectly.",去镇里的老裁缝铺定做花艺沙龙的围裙，裁缝师傅随手送了你一卷积压的复古蕾丝，恰好能用来装饰你的花艺花器，和维多利亚别墅的风格完美适配。
event_76_desc,"You went for a walk on the back mountain after snow in winter, and accidentally found a clump of sprouting wild snowdrops under the snow. After transplanting them to the greenhouse, they bloomed on New Year's Eve, becoming the core protagonist of your New Year floral work.",冬日雪后去后山散步，无意间在雪层下发现了一丛冒芽的野生雪滴花，移栽到花房后，竟在除夕当天开出了花，成了你新年花艺作品的核心主角。
event_77_desc,"After the heavy rain, a few wild clematis unexpectedly grew on the wall outside your greenhouse. The color is the deep purple retro shade you have been looking for for a long time. After cutting propagation, they became a natural flower wall for your greenhouse.",暴雨过后，你花房外的围墙上，竟意外长出了几株野生铁线莲，花色是你找了很久的深紫复古色，扦插后成了你花房的天然花墙。
event_78_desc,"A cup of rainwater you left on the windowsill unexpectedly grew a clump of rare green algae. The natural pigment extracted from it can dye your preserved flowers a unique forest-style green, which does not fade and also has a faint herbal fragrance.",你随手放在窗台的一杯雨水，竟意外长出了一团罕见的绿水藻，提取后制成的天然色素，能给你的永生花染上独一无二的森系绿色，不褪色还带着淡淡的草木香。
event_79_desc,"You went to the back mountain to collect moss, and accidentally found a natural moss lawn with uniform thickness and delicate texture, which is perfect to be used as the base for your large floral installation, saving you months of cultivation time.",去后山采集苔藓，无意间发现了一片天然的苔藓草坪，厚度均匀、质感细腻，恰好能用来做你大型花艺装置的基底，省去了数月的培育时间。
event_80_desc,"The owner of the town's bakery casually gave you a bag of wheat bran left over from baking bread. You fermented it at home and made it into flower fertilizer, which made your rare amaryllis that had been stunted for a long time suddenly grow three flower stalks.",小镇的面包店老板随手给了你一袋烤面包剩下的麦麸，回家发酵后做成的花肥，竟让你一直僵苗的稀有朱顶红，一下子抽出了三根花箭。
event_81_desc,The photo of the sunrise over the greenhouse you casually took was selected by the town tourism bureau and printed as official promotional postcards.,你随手拍下的花房日出照片，被小镇旅游局选中印成了官方宣传明信片。
event_82_desc,"The wild flower mix you casually sowed on the open space of the back mountain unexpectedly attracted a large number of pollinating insects, which nearly doubled the fruit setting rate of the rare flowers on the back mountain, greatly accelerating your conservation progress.",你随手播撒在后山空地上的野花组合，竟意外吸引了大量传粉昆虫，让后山的珍稀花卉坐果率提升了近一倍，大大加快了你的保育进度。
event_83_desc,"A cup of honey water you left in the greenhouse unexpectedly attracted a group of wild bees. They built a nest under the eaves of your greenhouse, producing honey with a strong rose aroma, and also helping to naturally pollinate your flowers.",你随手放在花房里的一杯蜂蜜水，竟意外吸引了一群野生蜜蜂，它们在你花房的屋檐下筑了巢，产出的蜂蜜带着浓郁的玫瑰香气，还帮你的花卉完成了天然授粉。
event_84_desc,"The small ornament you casually made with dead branches and dried flowers was seen by a famous director who was traveling in the town, and he took the initiative to invite you to be the floral art director for his new film.",你随手用枯枝和干花做的小摆件，被来小镇旅游的知名导演看到，主动邀请你为他的新电影做花艺美术指导。
event_85_desc,"When wrapping thermal insulation cotton around the greenhouse plants in winter, you casually opened a roll of old wool felt, and found a complete century-old wool tapestry tucked inside, embroidered with Victorian garden patterns. It became the highlight decoration of your villa's living room.",冬日给花房的植物裹保温棉，随手拆开一卷旧羊毛毡，发现里面夹着一张完整的百年前羊毛挂毯，上面绣着维多利亚时期的花园纹样，成了你别墅客厅的点睛装饰。
event_86_desc,"The floral creation diary you casually recorded was seen by a publisher's editor, who took the initiative to contact you to publish your personal portfolio.",你随手记录的花艺创作日记，被出版社的编辑看到，主动联系你出版个人作品集。
event_87_desc,"After the heavy rain, a small section of the villa's fence was washed away. While cleaning up the debris, you found a whole box of intact Victorian-era glass vases buried underground, which are perfect as exclusive vessels for your works at the international art exhibition.",暴雨过后，别墅的围墙被冲垮了一小块，清理时竟发现了地下埋着的一整箱维多利亚时期的玻璃花器，每一个都完好无损，恰好能用来做你国际艺术展作品的专属花器。
event_88_desc,"You casually installed a bird feeder in the corner of the greenhouse, which unexpectedly attracted a group of local tits to settle down. They ate most of the pests in the greenhouse, so you no longer need to spray pesticides on your flowers.",你随手在花房的角落装了一个喂鸟器，竟吸引了一群本地的山雀定居，它们帮你吃掉了花房里绝大多数的害虫，让你的花卉再也不用喷洒杀虫剂。
event_89_desc,"The flower fertilizer you casually made from coffee grounds unexpectedly doubled the intensity of the blue hue of the blue roses you cultivated, and the flowers also carry a faint coffee aroma. This exclusive formula has become a signature feature of your works.",你随手用咖啡渣做的花肥，竟让你培育的蓝玫瑰蓝晕色泽比之前浓郁了一倍，还带着淡淡的咖啡香气，这个独家配方成了你作品的标志性特色。
event_90_desc,"After graduation, you returned to the small town and rented a one-bedroom apartment with a balcony, devoting yourself to running a life aesthetics self-media account. Although your follower count grows slowly, your exquisite content has a very good reputation in a small circle.",你毕业后回到小城，租下一间带阳台的一居室，安心做生活美学类自媒体。虽粉丝增长缓慢，但内容精致，在小圈子里口碑很好。
event_91_desc,"One of your popular posts about ""slow life in small towns"" was fully plagiarized by a major account under a local MCN agency with millions of followers. The other party's traffic soared, while your rights protection comments were deleted and you were blocked.",你一篇关于“小城慢生活”的爆款图文，被本地一个坐拥百万粉丝的MCN机构旗下大号全文抄袭，对方流量暴涨，而你的维权留言被删除拉黑
event_92_desc,"You feel angry and helpless. The other party is a local giant, and you are afraid that public rights protection will bring more cyberbullying or even real-life trouble, so you once thought about swallowing the insult.",你感到愤怒又无助，对方是本地巨头，你怕公开维权会招来更大的网络暴力甚至现实麻烦，想过忍气吞声
event_93_desc,"Your loyal fan, a retired veteran media reporter, sent you a private message. He had sorted out a complete chain of evidence of plagiarism, and told you: ""Truth becomes clearer only through debate, little girl. Let me teach you how to use the weapon of public opinion.""",你的忠实粉丝、一位退休的媒体老记者私信你，他梳理了完整的抄袭证据链，并告诉你：“真理不辩不明，小姑娘，我教你如何用舆论的武器。”
event_94_desc,"You accepted the old reporter's guidance, recorded your first rights protection video on the balcony, clearly listed all evidence, and officially declared war on the plagiarist. After the video was released, you officially stepped into a special world full of online disputes.",你接受了老记者的指导，在阳台上录制了第一条维权视频，明确列出证据，正式向抄袭者宣战。视频发出，你正式踏入充满网络硝烟的特殊世界
event_95_desc,"Your rights protection video caused a small stir at first, but was soon flooded by comments from the other party's paid trolls, who accused you of ""faking disputes to gain attention"" and ""being desperate for fame"". You went through a series of setbacks including cyberbullying, losing followers, and insomnia, but you also met several other bloggers who had been infringed by the same agency, and you formed an alliance.",你的维权视频激起小范围水花，但很快被对方的水军评论淹没，对方反咬你“碰瓷”、“想红想疯了”。你经历了被网暴、掉粉、失眠等一系列小挫折，但也结识了几位同样被该机构侵权过的博主，结成盟友
event_96_desc,"The other party released a long article to turn the tables, framing you for ""plagiarizing others in your early works"" and implying that you had a messy private life, trying to destroy your reputation completely. Voices supporting you were drowned out, and you fell into a full-blown trust crisis.",对方发布长文，倒打一耙，诬陷你早期的作品也有“借鉴”嫌疑，并暗示你私生活混乱，试图从人格上摧毁你。支持你的声音被淹没，你陷入全面的信任危机
event_97_desc,"You received a private warning call from the MCN boss, who spoke arrogantly and told you to ""be smart and delete the video, then you can still get some small benefits"". Looking at the wilted plants on your balcony, you felt unprecedented despair, and for the first time doubted whether the meaning of your insistence on originality was just a joke.",你收到MCN老板的私下警告电话，语气傲慢，让你“识相点删视频，还能给你点汤喝”。你看着阳台上枯萎的植物，感到前所未有的绝望，第一次怀疑自己坚持原创的意义是否只是个笑话
event_98_desc,"Late at night, you flipped through old photos of you and your mother, and remembered that your original intention of running the self-media account was to record real beauty. Your anger subsided and you calmed down. You suddenly realized that all the other party's attacks were based on lies, while you had full records of the real creation process (drafts, shooting behind-the-scenes, timestamps). You awakened a new ability: to turn complex evidence into highly empathetic narratives. You were no longer a weak victim, but a warrior holding the truth.",深夜，你翻看自己和母亲的老照片，想起当初做自媒体的初心是为了记录真实的美好。怒火沉淀为冷静。你突然意识到，对方所有的攻击都建立在“谎言”上，而你有全部真实的创作过程记录（草稿、拍摄花絮、时间戳）。你觉醒了一种能力：将复杂证据转化为极具共情力的叙事。你不再是软弱的受害者，而是手握真相的战
event_99_desc,"You did not fight back immediately. Following the old reporter's strategy, you quietly turned your creation process into a series of short videos, while secretly collecting evidence of the other party's trolls controlling comments and threatening other bloggers. You returned to your identity as a ""content creator"", but this time, content was your weapon.",你没有立即反击。而是按照老记者的策略，默默把创作历程做成一个系列短片，同时悄悄收集对方水军控评、威胁其他博主的证据。你回归到“内容创作者”的身份，但这次，内容是你的武器
event_100_desc,"You chose the time when the MCN agency's annual press conference was broadcast live across all platforms to release all your original proof, solid evidence of the other party's plagiarism, and the complete chain of evidence of their malicious framing and suppression of other bloggers at once. It instantly broke through the other party's public opinion control, the press conference collapsed on the spot, and public opinion across the internet was completely reversed. Bloggers infringed by the agency collectively spoke out to confirm your claims, and all the slurs thrown at you were completely debunked.",你选在MCN机构年度发布会全平台直播的节点，一次性放出全部原创存证、对方抄袭实锤及恶意构陷、打压其他博主的完整证据链，瞬间击穿对方舆论控场，发布会当场翻车，全网舆论彻底反转，被该机构侵权的博主集体发声佐证，对方泼向你的所有污名全部不攻自破。
event_101_desc,"The plagiarizing account was banned, and the MCN agency's reputation was completely ruined. You not only won an apology and compensation, but also saw a surge in your follower count, and became a symbolic figure for the rights of original creators. You returned to your small home with the balcony, the sun was still shining as before, but you knew that you now had the power to protect the things you love.",抄袭号被封，MCN机构声誉扫地。你不仅赢得了道歉和赔偿，粉丝数暴涨，更成为了原创者权益的象征人物。你回到阳台的小家，阳光依旧，但你知道，你已拥有保护自己热爱之事的力量
event_102_desc,"You stay in the greenhouse of your Victorian-style villa, accompanying flowers and plants day after day, enjoying the peace. You have superb skills, but only create for yourself and a few close friends, avoiding all public activities. The villa is your safest fortress.",你在维多利亚风格别墅的花房里，日复一日与花草为伴，享受宁静。你技艺精湛，但只为自己和少数知己创作，逃避一切公开活动。别墅是你最安全的堡垒。
event_103_desc,"The mayor personally visited you, pleading with you to represent the town in the ""Spring Floral Master Competition"" to boost the town's tourism industry. Richard, the arrogant former champion, spread words in the town that ""the hermit is just a has-been who has run out of talent"".",镇长亲自登门，恳请你代表本镇参加“春日花艺大师赛”，以振兴小镇旅游业。往届冠军、傲慢的理查德在镇上放话，称“隐居者无非是江郎才尽。
event_104_desc,"You remembered the past when your ideas were plagiarized and you were ostracized in the city, and you were afraid of being exposed to public scrutiny again. You refused the mayor on the grounds that you ""do not like competition"".",你想起曾在都市被剽窃创意并遭排挤的往事，恐惧再次暴露在公众审视下。你以“不喜竞争”为由，拒绝了镇长。
event_105_desc,"Your elderly neighbor, Mrs. Irene, a former top botanist, knocked on your door. She did not persuade you, but just took you to see a dying rare blue iris in her greenhouse, saying: ""If it is afraid to bloom, it will really die. Beauty sometimes needs a little brave 'selfishness'."" Her words quietly woke you up.",你年迈的邻居、曾是顶尖植物学家的艾琳夫人敲开你的门。她没有劝你，只是带你去看她温室里一株濒死的稀有蓝色鸢尾，说：“它害怕绽放，就会真的死去。美，有时候需要一点勇敢的‘自私’。”她的话悄然点醒了你。
event_106_desc,"You looked at the rose seedling with a unique blue hue that you had accidentally cultivated in your greenhouse, and made a decision. You signed up with the mayor, and publicly responded to Richard: ""The owner of the garden should decide when to open the garden wall.""",你看着自己花房中一株偶然培育出的、拥有独特蓝晕的玫瑰幼苗，做出了决定。你向镇长报名，并公开回应理查德：“花园的墙，该由主人自己决定何时打开。”
event_107_desc,"You started creating for the competition. You designed your entry scheme using the structure of the villa's old glass greenhouse. Richard sent spies to snoop around and spread rumors that you ""use chemicals to produce deformed flowers"". You met Luke, a young farmer who provided you with special organic fertilizer, and became allies.",你开始为比赛创作。你利用别墅的老旧玻璃花房结构设计参赛方案。理查德派眼线来打探，散播你“用药剂催生畸形花”的谣言。你结识了为你提供特殊有机肥料的年轻农夫盟友卢克。
event_108_desc,"A week before the competition, your core material, the blue-hued rose, suddenly got infected with a rare disease. All conventional treatments were ineffective, and Richard was waiting to see you make a fool of yourself. Despair hung over the greenhouse.",比赛前一周，你的核心材料——那株蓝晕玫瑰，突然感染了罕见病害。所有常规方法无效，而理查德正等着看你的笑话。绝望笼罩了花房。
event_109_desc,"The rose's condition worsened, and you almost gave up. On a rainy night, you were alone in the greenhouse, as if you were back to the time when you licked your wounds alone after being betrayed. You questioned whether you really had the ability to face all this.",玫瑰病情恶化，你几乎要放弃。雨夜，你独自在花房，仿佛回到过去被背叛后独自舔舐伤口的时刻。你质问自己是否真的有能力面对这一切。
event_110_desc,"You remembered Mrs. Irene's words about the will of plants to survive, and the antibacterial properties of a local wild moss that Luke had mentioned. You went out in the rain to collect the moss, and boldly tried to make a mixed dressing. After staying up all night waiting, the rose's condition stabilized, and its blue hue miraculously deepened. You gained not only a solution to save the rose, but also the belief to ""follow nature and your inner intuition"".",你想起了艾琳夫人关于植物求生意志的话，以及卢克曾提过的本地一种野生苔藓的抗菌特性。你冒雨采集，大胆尝试制成混合敷料。一夜守候后，玫瑰病情稳定，并奇迹般地加深了蓝晕色彩。你获得的不仅是拯救方案，更是“遵从自然与内心直觉”的信念。
event_111_desc,"On the day of the competition, you entered with the recovered blue-hued rose and your work themed ""Time Corridor"". Richard sneered at it, and the jury chairman also expressed doubts about your non-traditional structure.",比赛日，你带着康复的蓝晕玫瑰和以“时光回廊”为主题的作品登场。理查德嗤之以鼻，评委会主席也对你的非传统结构表示疑虑。
event_112_desc,"During the judging session, you calmly explained: ""My work is not in the vase, but in the dialogue between light and glass. This shade of blue is the color after loneliness reconciles with time."" Just then, the sun penetrated the glass roof of the greenhouse, casting shifting light and shadow on the landscape you built with dead branches, fresh moss and blue roses, shocking the entire audience. Richard's lavishly piled work suddenly looked pale in comparison. You not only won the competition, but also completely bid farewell to the fear of the past.",评审环节，你平静地阐述：“我的作品不在瓶中，而在光与玻璃的对话里。这抹蓝，是孤独与时间和解后的颜色。”阳光恰好穿透玻璃花房顶，在你以枯枝、鲜苔与蓝玫瑰构筑的景观上投下变幻光影，震撼全场。理查德的奢华堆砌之作顿时显得苍白。你不仅赢得了比赛，更完成了对过去恐惧的彻底告别。
event_113_desc,"You brought back the champion trophy and placed it on the fireplace in the villa's living room. The town welcomed more tourists because of your fame, but you did not change your nature of living in seclusion. You started to occasionally hold small salons in the greenhouse, only inviting people who know how to appreciate your work. You protected your peace, but also gained the right to choose when to open up.",你捧回冠军奖杯，将它放在别墅客厅的壁炉上。小镇因你的名气迎来了游客，但你并未改变隐居的本质。你开始偶尔在花房举办小型沙龙，只邀请懂得欣赏的人。你保护了自己的宁静，但也拥有了选择开放的权力。
event_114_desc,"In the afternoon, the cat on the windowsill licks its paws slowly.",午后，窗台上的猫慢条斯理地舔着爪子。
event_115_desc,"Every time it licks its paw, a small tuft of dried dandelion, the aroma of freshly baked bread, or a wisp of setting sun passing through the curtains is carefully and evenly spread by it on the softest part of its heart.",它每舔一下，就有一小团晒干的蒲公英、刚烤好的面包香气，或是一缕穿过窗帘的斜阳，被它细细地、均匀地铺在心底最柔软的地方。
event_116_desc,"When night falls, it curls up, rests its head on the warmth collected during the day, and weaves a fluffy, purring dream.",等夜幕降临，它盘起身子，头枕着这些白天收集的暖意，便织成了一个毛茸茸的、会咕噜咕噜响的梦。
event_117_desc,"The little girl squatted beside the rattan chair, staring at the orange cat that always tucked its paws tightly in its arms, not even exposing them when sleeping. She tugged at the corner of her grandma's clothes: ""Why does the cat always hide its paws?""","小女孩蹲在藤椅边，盯着橘猫总把爪子严严实实揣在怀里，连睡觉都不肯露出来。
她扯了扯奶奶的衣角：“猫猫为什么总把爪子藏起来呀？”"
event_118_desc,"Grandma smiled and whispered: ""It is holding a belly full of soft words."" ""Do soft words need to be hidden too?""","奶奶笑着轻声说：“它在揣着一肚子的软话呢。”
“软话也要藏起来吗？”"
event_119_desc,"""Mhm, it is afraid that if it exposes them casually, the wind will blow the tenderness away. Only when it meets someone who treats it sincerely will it stretch out its paws, and gently hand all the unspoken affection it has saved for a long time to you.""",“嗯，它怕随便露出来，风会把温柔吹走。只有遇到真心待它的人，它才会把爪子伸开，把攒了好久的、没说出口的喜欢，全都轻轻递到你手里呀。”
event_120_desc,"By the west mountain at dusk, there is always a chubby cloud that never drifts to the horizon with the wind. It only brushes slowly against the mountaintop, floating back and forth, and won't sink slowly until the sky is completely dark.",傍晚的西山边，总有一朵胖乎乎的云，不跟着风往天边走，只慢悠悠地蹭着山顶，来来回回地飘，直到天完全黑透，才肯慢慢沉下去。
event_121_desc,"It is not lost. It is tucking the little pine tree on the mountaintop in a quilt. The mountain night is too cold for the newly sprouted pine sapling to withstand the cold wind, so the cloud stretches itself into soft cotton wadding, brushing against the pine needles again and again to wrap it in a thin layer of warmth.",它不是迷了路，是在给山顶的小松树盖被子。山里的夜太凉，刚冒尖的小松树扛不住夜里的寒风，云朵就把自己拉成软软的棉絮，一遍遍地蹭着松针，给它裹上一层薄薄的暖。
event_122_desc,"Only when it confirms that the little pine tree won't freeze does it melt into the night at ease, turning all its remaining tenderness into the clear frost that rests on the pine needles at dawn the next day.",等确认小松树不会冻着了，它才会放心地融进夜色里，把剩下的温柔，都化作第二天清晨，落在松针上的清霜。
event_123_desc,"When it is quiet, the kitten's ears twirl gently like radar. It is not on alert, but sorting out the fragments of emotions drifting in the air.","安静时，小猫的耳朵像雷达般轻轻转动。
它不是在戒备，而是在整理空气里飘散的情绪碎片"
event_124_desc,"The teardrop about to fall from a child's eye, the quiet anxiety drifting from the kitchen, the sigh tucked between the pages of a book. Its ears are like two tiny whirlpools, sucking in all the overly sharp emotions, filtering and breaking them down in the soft fur deep in the auricle, turning them into dandelions that can be blown away easily.",孩童未掉落的那滴眼泪、厨房里悄悄飘散的焦虑、书页间夹着的一声叹息。它的耳朵像两片小小的旋涡，把所有过于尖锐的情绪吸入，在耳廓深处柔软的绒毛里过滤、打散，变成可以吹散的蒲公英。
event_125_desc,Then the room is suddenly filled with a quietness that slows your breath -- that's it quietly reducing the noise for the whole space.,于是房间里忽然有了让呼吸放缓的安静，那是它在为整个空间悄悄降噪。
event_126_desc,"In autumn, the squirrel hurriedly buries an acorn in the pile of fallen leaves. It knows that deep in the soil, there is a sleeping ""Winter"".",秋天，松鼠匆匆将一颗橡子埋进落叶堆。它知道泥土深处，有一位沉睡的“冬天”。
event_127_desc,"This acorn marked with tooth marks is a small, crispy greeting gift. When the first snow falls, a very soft, satisfied snore will come from under the ground.",这颗带着齿痕的橡子，是一份小小的、酥脆的见面礼。当第一场雪落下，地底会传来一声极轻的、满足的鼾声。
event_128_desc,"In the coming spring, the new bud growing there will sing a song about snoring and gifts that only the squirrel can hear.",来年春天，那里长出的新芽，会唱着只有松鼠能听见的、关于鼾声与馈赠的歌。
event_129_desc,"The little boy noticed that the puppy at home always carries his worn cotton socks in its mouth, curls up in the corner of the sofa and holds them tightly, refusing to let go even when eating. He asked his grandma: ""Why does the puppy always hold my old socks?""","小男孩发现，家里的小狗总叼着他穿旧的棉袜子，窝在沙发角抱得紧紧的，连吃饭都不肯松口。
他问外婆：“小狗为什么总抱着我的旧袜子呀？”"
event_130_desc,"Grandma rubbed his head and said: ""It's saving your scent."" ""What does it save the scent for?""","外婆揉了揉他的头说：“它在攒你的味道呢。”
“攒味道做什么？”"
event_131_desc,"When you go to school or go out to play, it can't see you, so it holds the socks with your scent, just like you're still sitting beside it to keep it company. It saves all its longing for the whole day in the socks, and when you push open the door, it will wag its tail and welcome you with the joy it has saved up for so long.",“你上学、出去玩的时候，它见不到你，就抱着有你味道的袜子，就像你还坐在它身边陪它一样。它把一整天的想念都攒在里面，等你推开家门，就摇着尾巴，用攒了好久的欢喜来欢迎你。”
event_132_desc,"The calico cat always steps on your keyboard when you're typing, often messing up the half-finished document. You've scolded it several times, but it just tilts its head and looks at you, not running away.",三花总爱趁你敲键盘的时候踩上来，经常把你写了一半的文档踩得乱七八糟，你骂过它好几次，它就歪着脑袋看你，也不跑。
event_133_desc,"Yesterday you were shedding tears in front of a blank document, and it stepped on the keyboard again. This time, the characters it typed happened to be the first pinyin letters of ""Be Happy"".",昨天你对着空白文档掉眼泪，它又踩上来，这次踩出来的字居然是“要开心”的拼音首字母。
event_134_desc,"Later the old granny in the alley told you that every kitten has a lot of whispers. They can't type, so they stand on tiptoe and tap the care hidden in their paw pads to you word by word. It doesn't matter if they tap the wrong keys. Even if the love is crooked, it can still land right in your heart.",后来老巷的婆婆告诉你，每只小猫都有很多悄悄话，它们不会打字，就踮着脚把藏在肉垫里的关心一个字一个字敲给你，踩错了也没关系，爱意歪歪扭扭的，也照样能落进你心里。
